sentence_id,df_index,sari,bertscore_precision,bertscore_recall,bertscore_f1,fre,lix,compression_ratio,novelty,dis_ori_pred,dis_ori_ref,dis_pred_ref,score_dpo
92,3556,44.405321,76.536858,72.402167,74.412119,89.028448,25.527094,36.263736,40.0,0.270432,0.031406,0.970754,50.69301
92,3557,41.028031,73.97421,69.946051,71.903765,94.953997,24.493197,46.153846,55.555556,0.998805,0.031406,0.080199,69.339012
92,3558,43.53035,76.374459,72.768652,74.527967,87.569828,28.975369,36.263736,42.857143,0.994118,0.031406,0.139457,68.639152
92,3559,39.660055,74.101162,69.250512,71.593767,99.015714,19.698413,30.769231,42.857143,0.983259,0.031406,0.212992,67.590925
93,3560,54.38118,77.229065,74.97822,76.086998,93.592439,25.369338,65.833333,45.0,0.999528,0.999994,0.999618,73.59477
93,3561,47.998464,78.179449,74.572808,76.333547,97.725625,23.402778,62.5,42.857143,0.99991,0.999994,0.999946,72.546451
93,3562,39.616208,76.690382,73.675299,75.152606,97.719268,27.808362,65.833333,41.176471,0.999982,0.999994,0.999996,70.597025
93,3563,53.883996,77.558392,74.874419,76.192772,91.27,24.206349,62.5,61.904762,0.999988,0.999994,0.999998,73.986289
94,3564,47.051729,70.47382,68.734151,69.59312,91.297,25.142857,44.444444,35.0,0.999791,0.929477,0.930575,68.387145
94,3565,39.014979,68.030959,66.205531,67.105836,90.958571,25.367347,45.555556,38.095238,0.999992,0.929477,0.929079,66.215431
94,3566,42.563006,69.731593,67.603678,68.651152,86.221,27.142857,44.444444,31.818182,0.999976,0.929477,0.929372,66.545863
94,3567,46.057941,70.019048,71.750617,70.874256,98.707045,19.136364,26.666667,44.0,0.999521,0.929477,0.93819,68.868046
95,3568,47.056177,80.110025,70.783293,75.158417,91.016136,29.742424,57.142857,62.5,0.999991,0.999982,0.999994,72.099936
95,3569,45.721081,79.326874,70.625854,74.723929,93.579773,23.681818,57.142857,58.823529,0.99804,0.999982,0.998373,71.71919
95,3570,48.535498,78.888112,73.537093,76.118678,93.15,24.206349,41.558442,52.380952,0.999986,0.999982,0.999997,71.573118
95,3571,51.761776,80.885458,71.872222,76.112932,101.270682,23.681818,57.142857,53.333333,0.999972,0.999982,0.999994,73.889599
96,3572,61.654962,83.22407,79.906094,81.53134,87.973333,31.666667,58.333333,31.25,0.990968,0.10016,0.013766,74.847842
96,3573,66.088177,82.559216,80.189061,81.356883,88.474776,28.784553,57.291667,25.0,0.991833,0.10016,0.014389,75.386038
96,3574,61.605526,81.782961,79.47458,80.612248,90.230273,26.981818,54.166667,37.5,0.361028,0.10016,0.800349,59.140132
96,3575,66.845717,82.592165,78.059971,80.262142,84.638246,35.280702,60.416667,33.333333,0.992721,0.10016,0.015337,75.429931
97,3576,43.682588,81.105423,81.518936,81.311655,84.70954,26.908046,50.42735,10.526316,0.984967,0.984329,0.999981,69.272928
97,3577,44.696141,81.332886,81.950986,81.640768,83.925,25.238095,48.717949,11.111111,0.985428,0.984329,0.999964,69.451348
97,3578,43.461917,79.430127,80.201107,79.813761,89.085402,21.735632,50.42735,10.526316,0.984841,0.984329,0.999983,69.214128
97,3579,41.771651,80.071497,78.030574,79.037863,85.817925,22.665768,54.700855,23.529412,0.984306,0.984329,0.999982,69.169279
98,3580,43.969278,77.997971,73.368877,75.612634,63.487333,42.437037,35.714286,28.571429,0.992599,0.992723,0.999989,65.869803
98,3581,44.913732,79.351389,73.599148,76.367104,63.016,41.0,40.47619,30.769231,0.992582,0.992723,0.999992,66.592926
98,3582,44.790019,78.181165,75.8582,77.002168,74.447316,33.915789,9.52381,38.888889,0.995966,0.992723,0.999513,66.826667
98,3583,39.560526,75.714469,72.732377,74.193472,77.970341,35.522727,21.428571,41.176471,0.998765,0.992723,0.985613,66.072554
99,3584,50.861916,78.472698,70.373166,74.202561,99.226154,28.648352,59.375,66.666667,0.040275,0.999743,0.018158,49.708797
99,3585,48.722277,79.781842,71.094942,75.188309,94.910882,22.504202,64.583333,64.285714,0.040271,0.999743,0.018154,49.292285
99,3586,54.227951,82.038921,73.714995,77.654529,86.62451,23.313725,64.583333,46.666667,0.040224,0.999743,0.018105,49.416992
99,3587,44.657623,77.180624,67.392594,71.95527,90.550662,24.838235,64.583333,66.666667,0.040393,0.999743,0.018279,47.211772
100,3588,42.928766,74.802232,70.960408,72.830695,81.648039,29.196078,60.91954,47.368421,0.962411,0.99947,0.959834,68.084566
100,3589,40.476943,75.041175,70.542473,72.72231,85.474176,24.447059,60.91954,42.105263,0.997498,0.99947,0.996306,68.5621
100,3590,42.354803,72.457045,70.257401,71.340269,95.137515,19.328488,50.574713,52.631579,0.999159,0.99947,0.998672,69.529466
100,3591,38.765165,72.764868,71.089375,71.917367,93.163455,17.945755,39.08046,47.619048,0.992472,0.99947,0.989478,67.79331
101,3592,53.974719,81.922495,73.349929,77.39957,66.4,33.0,69.135802,30.769231,0.246363,0.295196,0.956385,51.856466
101,3593,53.689305,81.04701,72.404796,76.482546,63.487333,35.02963,66.666667,42.857143,0.261489,0.295196,0.956585,52.09345
101,3594,39.073526,73.985511,70.257342,72.073239,75.859286,27.428571,48.148148,29.411765,0.883851,0.295196,0.692795,63.006505
101,3595,40.818172,74.549747,64.869601,69.373626,77.165417,24.083333,60.493827,63.636364,0.711834,0.295196,0.294742,60.761835
102,3596,48.79636,75.768042,75.932461,75.850165,79.372111,25.555556,38.271605,43.478261,0.999892,0.999887,0.999585,69.536345
102,3597,49.241498,74.635363,75.936317,75.280219,83.154035,23.877193,29.62963,44.0,0.999889,0.999887,0.999571,69.427595
102,3598,49.904351,75.126058,74.641764,74.883121,82.685625,23.402778,44.444444,38.095238,0.999929,0.999887,0.99964,69.839725
102,3599,47.512508,74.900341,74.456799,74.677908,77.045625,23.402778,44.444444,35.0,0.999943,0.999887,0.999673,68.581376
103,3600,42.079331,74.059945,70.48924,72.230494,84.89131,34.404762,38.596491,50.0,0.999647,0.989897,0.991706,68.003975
103,3601,34.726423,73.09767,65.312123,68.985927,92.463273,36.90303,42.105263,75.0,0.999773,0.989897,0.990379,67.780782
103,3602,43.6893,75.705081,73.179793,74.42103,87.873485,34.606061,22.807018,55.0,0.99974,0.989897,0.991758,68.739658
103,3603,42.123313,75.205863,76.344568,75.770938,75.831594,38.101449,19.298246,47.826087,0.999822,0.989897,0.990642,67.091716
104,3604,48.67838,75.458527,73.703814,74.570853,91.1575,26.446429,61.904762,57.142857,0.785256,0.73861,0.428276,66.808524
104,3605,47.669079,73.803985,74.551463,74.175847,86.465,24.587302,57.142857,60.0,0.868444,0.73861,0.659979,68.001682
104,3606,46.266628,73.647958,73.884851,73.766214,86.436941,26.929412,59.52381,66.666667,0.963431,0.73861,0.677648,70.422219
104,3607,45.956054,76.354074,75.633854,75.99225,98.543755,17.015326,65.47619,85.714286,0.815277,0.73861,0.524401,69.785064
105,3608,37.435717,80.291277,77.784687,79.01811,83.32,28.333333,50.0,45.454545,0.198019,0.100488,0.992499,49.251747
105,3609,37.435717,80.435228,77.380061,78.878069,86.14,25.0,50.0,45.454545,0.268297,0.100488,0.982747,51.250642
105,3610,38.681561,79.179585,77.033013,78.091556,69.748609,35.034783,61.666667,30.0,0.075485,0.100488,0.998509,44.612058
105,3611,38.419863,80.293405,76.832366,78.524762,80.0675,19.314815,55.0,22.222222,0.967505,0.100488,0.348724,67.304523
106,3612,35.400772,73.234379,72.263288,72.745591,85.125,22.666667,23.076923,50.0,0.101803,0.95193,0.401527,43.615908
106,3613,34.274853,74.708217,73.341286,74.018449,80.497706,27.388235,12.820513,37.5,0.023205,0.95193,0.08288,40.207675
106,3614,34.460414,74.53407,72.826529,73.670411,89.2425,24.166667,23.076923,46.666667,0.446171,0.95193,0.6987,52.560876
106,3615,36.801094,77.321142,73.6655,75.449061,84.258345,19.593103,25.641026,46.666667,0.115339,0.95193,0.413951,44.928485
107,3616,41.305374,78.899264,78.159952,78.527868,84.586414,27.616162,57.281553,35.0,0.379041,0.791667,0.141405,54.36852
107,3617,34.384242,76.636428,76.95924,76.797497,89.734318,21.409091,57.281553,33.333333,0.564577,0.791667,0.194695,57.534763
